Draw,Date,Winning Number 1,2,3,4,5,6,Bonus Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize
1136,2024-09-07,21,33,35,38,42,44,1,"21,33",1,5,3,3,0,0,1,3,2,12,2314468157,75,61719151,2906,1592890,144451,50000,2452383,5000
1135,2024-08-31,1,6,13,19,21,33,4,"13,19",5,1,5,1,2,2,1,1,0,9,2953726125,91,48687794,3417,1296632,163808,50000,2654691,5000
1134,2024-08-24,3,7,9,13,19,24,23,13,5,1,5,1,3,2,1,0,0,14,1755689384,97,42233078,3961,1034236,180353,50000,2807905,5000
1133,2024-08-17,13,14,20,28,29,34,23,"28,34",3,3,2,4,0,3,2,1,0,13,2105079491,73,62479529,2737,1666426,143047,50000,2393005,5000
1132,2024-08-10,6,7,19,28,34,41,5,6,3,3,3,3,2,1,1,1,1,11,2404951807,73,60398334,3086,1428736,148359,50000,2463697,5000
1131,2024-08-03,1,2,6,14,27,38,33,27,4,2,2,4,3,1,1,1,0,17,1542367898,56,78036471,2861,1527453,144842,50000,2471592,5000
1130,2024-07-27,15,19,21,25,27,28,40,28,3,3,5,1,0,2,4,0,0,12,2263301219,69,65602934,2900,1560898,137397,50000,2334975,5000
1129,2024-07-20,5,10,11,17,28,34,22,"5,28",4,2,3,3,2,2,1,1,0,11,2369567660,107,40600069,3142,1382625,154322,50000,2542398,5000
1128,2024-07-13,1,5,8,16,28,33,45,,4,2,3,3,3,1,1,1,0,63,419925560,77,57262577,2987,1476137,153592,50000,2545750,5000
1127,2024-07-06,10,15,24,30,31,37,32,37,2,4,3,3,1,1,2,2,0,12,2267891969,84,53997428,3007,1508409,145646,50000,2443423,5000
1126,2024-06-29,4,5,9,11,37,40,7,40,4,2,4,2,3,1,0,2,0,11,2386382421,91,48077302,3114,1404957,157300,50000,2626764,5000
1125,2024-06-22,6,14,25,33,40,44,30,33,2,4,2,4,1,1,1,2,1,12,2195289188,78,56289467,3066,1432022,147313,50000,2442674,5000
1124,2024-06-15,3,8,17,30,33,34,28,34,3,3,3,3,2,1,1,2,0,10,2623327913,87,50255324,3123,1400005,158630,50000,2619643,5000
1123,2024-06-08,13,19,21,24,34,35,26,"21,34,35",3,3,4,2,0,2,2,2,0,16,1731310711,77,59958813,2945,1567684,147087,50000,2456500,5000
1122,2024-06-01,3,6,21,30,34,35,22,6,3,3,3,3,2,0,2,2,0,11,2556266046,99,47338261,2932,1598393,151473,50000,2540890,5000
1121,2024-05-25,6,24,31,32,38,44,8,"31,38",1,5,1,5,1,0,1,3,1,11,2524513262,76,60898347,2956,1565723,148984,50000,2494773,5000
1120,2024-05-18,2,19,26,31,38,41,34,,2,4,3,3,1,1,1,2,1,11,2522163375,91,50812816,3049,1516552,154910,50000,2532990,5000
1119,2024-05-11,1,9,12,13,20,45,3,"13,45",5,1,4,2,2,3,0,0,1,19,1396028764,97,45574823,3108,1422381,155000,50000,2560859,5000
1118,2024-05-04,11,13,14,15,16,45,3,,5,1,4,2,0,5,0,0,1,19,1477445132,72,64980226,3518,1329897,145194,50000,2435050,5000
1117,2024-04-27,3,4,9,30,33,36,7,30,3,3,3,3,3,0,1,2,0,9,3028385542,94,48325302,3161,1437071,155379,50000,2567618,5000
1116,2024-04-20,15,16,17,25,30,31,32,,3,3,4,2,0,3,2,1,0,10,2695000238,114,39400589,2896,1550991,145548,50000,2444108,5000
1115,2024-04-13,7,12,23,32,34,36,8,32,2,4,2,4,1,1,1,3,0,12,2257278282,60,75242610,3103,1454901,158614,50000,2584491,5000
1114,2024-04-06,10,16,19,32,33,38,3,32,3,3,2,4,1,2,0,3,0,17,1583813824,88,50994006,3221,1393193,160537,50000,2574463,5000
1113,2024-03-30,11,13,20,21,32,44,8,"20,44",4,2,3,3,0,3,1,1,1,14,1987426822,57,81356654,2936,1579472,146997,50000,2444535,5000
1112,2024-03-23,16,20,26,36,42,44,24,,2,4,0,6,0,2,1,1,2,10,2804455650,59,79221912,3077,1519043,148163,50000,2461430,5000
1111,2024-03-16,3,13,30,33,43,45,4,3,2,4,5,1,1,1,1,1,2,16,1714662540,97,47138490,5096,897260,171363,50000,2608760,5000
1110,2024-03-09,3,7,11,20,22,41,24,,5,1,4,2,2,2,1,0,1,16,1647392719,118,37229214,3654,1202258,173234,50000,2747163,5000
1109,2024-03-02,10,12,13,19,33,40,2,19,4,2,3,3,1,3,0,2,0,17,1584352875,84,53440474,3347,1341202,180255,50000,2734683,5000
1108,2024-02-24,7,19,26,37,39,44,27,,2,4,4,2,1,1,1,2,1,14,1957990849,96,47590056,3227,1415757,157579,50000,2572268,5000
1107,2024-02-17,6,14,30,31,40,41,29,,2,4,2,4,1,1,1,2,1,14,2025625233,82,57639743,3357,1407942,162265,50000,2581512,5000
1106,2024-02-10,1,3,4,29,42,45,36,,3,3,4,2,3,0,1,0,2,11,2790462819,67,76355948,3374,1516257,168792,50000,2788452,5000
1105,2024-02-03,6,16,34,37,39,40,11,,2,4,2,4,1,1,0,4,0,15,1834853800,83,55266681,2898,1582863,148700,50000,2503114,5000
1104,2024-01-27,1,7,21,30,35,38,2,,3,3,4,2,2,0,2,2,0,15,1817193100,76,59776089,3000,1514328,148589,50000,2490276,5000
1103,2024-01-20,10,12,29,31,40,44,2,,2,4,2,4,1,1,1,2,1,17,1574419633,76,58695469,2909,1533468,144537,50000,2436768,5000
1102,2024-01-13,13,14,22,26,37,38,20,13,3,3,2,4,0,2,2,2,0,20,1383591413,63,73205895,3042,1516099,147705,50000,2461606,5000
1101,2024-01-06,6,7,13,28,36,42,41,,3,3,2,4,2,1,1,1,1,13,2100529500,75,60681964,3363,1353300,159797,50000,2596082,5000
1100,2023-12-30,17,26,29,30,31,43,12,43,1,5,4,2,0,1,3,1,1,13,2207575472,81,59050373,2869,1667160,146262,50000,2503154,5000
1099,2023-12-23,3,20,28,38,40,43,4,43,2,4,2,4,1,1,1,2,1,9,2959934125,71,62533820,2701,1643800,134122,50000,2306011,5000
1098,2023-12-16,12,16,21,24,41,43,15,,3,3,3,3,0,2,2,0,2,13,1930461895,68,61509816,2840,1472771,138090,50000,2311866,5000
1097,2023-12-09,14,33,34,35,37,40,4,,1,5,3,3,0,1,0,5,0,7,3864293090,67,67288686,2631,1713547,135670,50000,2317263,5000
1096,2023-12-02,1,12,16,19,23,43,34,,4,2,4,2,1,3,1,0,1,10,2539391175,85,49791984,2924,1447442,141700,50000,2386598,5000
1095,2023-11-25,8,14,28,29,34,40,12,40,2,4,1,5,1,1,2,2,0,10,2617825575,57,76544608,2584,1688484,135653,50000,2278659,5000
1094,2023-11-18,6,7,15,22,26,40,41,22,4,2,2,4,2,1,2,1,0,12,2112854469,87,48571368,2725,1550719,136802,50000,2278728,5000
1093,2023-11-11,10,17,22,30,35,43,44,,3,3,3,3,1,1,2,1,1,13,1967040750,65,65568025,2928,1455575,141232,50000,2327509,5000
1092,2023-11-04,7,18,19,26,33,45,37,,3,3,4,2,1,2,1,1,1,16,1583289844,84,50263170,3327,1269044,160096,50000,2540721,5000
